name_project,sectors,region_project,budget_project,project_duration_days,عدد المنشآت,عدد العاملين السعوديين,economic_indicator,project_success
برج غرفة الشرقية الاستثماري – Asharqia Chamber Investment Tower                  , تجاري,"المنطقة الشرقية, الدمام",335000000.0,912.0,188521.0,598525.0,,1
مقر برايس ووتر هاوس كوبرز – PWC Headquarter                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مقر المدفوعات السعودية – Saudi Payment Headquarter                  , تجاري,"منطقة الرياض, الرياض",1178000000.0,2190.0,732297.0,1159997.0,,1
الاحساء ستريب مول – Ahsa Strip Mall                  , تجاري,"المنطقة الشرقية, الأحساء",,,188521.0,598525.0,,0
برج الدايل – Al-Dailh Tower                  , تجاري,"منطقة مكة المكرمة, جدة",120000000.0,1034.0,286456.0,477481.0,,1
برج سماسكو – SMASCO Tower                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
بغلف افينيو – Baghlaf Avenue                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
قرية العبيكان و ماسك – Obeikan & Masic Village                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
واحة الطائف – Taif Oasis                  , تجاري,"منطقة مكة المكرمة, الطائف",50000000.0,,286456.0,477481.0,,0
دبل تري جدة – DoubleTree Jeddah                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
بوكس بارك – Box Park                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
النخيل بلازا – Nakheel Plaza                  , تجاري,"منطقة مكة المكرمة, الطائف",,,286456.0,477481.0,,0
مركز الأبحاث – Think Tank                  , تجاري,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية",,,286456.0,477481.0,,0
كيوبيك – QBIC                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
خطوات أبها – Abha Steps                  , تجاري,"منطقة عسير, أبها",,,77895.0,53929.0,,0
أرض أبها – Abha Land                  , تجاري,"منطقة عسير, أبها",,,77895.0,53929.0,,0
مجمع مكتبي – Office Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع سكني – Housing Complex                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
كينج ووك – King Walk                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مطعم باب التراث – Bab Al-Turath Resturant                  , تجاري,"منطقة عسير, أبها",,,77895.0,53929.0,,0
شرفة – Shurfa                  , تجاري,"منطقة عسير, أبها",,456.0,77895.0,53929.0,,0
شموخ بلازا – Shumok Plaza                  , تجاري,"المنطقة الشرقية, الدمام",,,188521.0,598525.0,,0
مول صاري – Sari Mall                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
مجمع متعدد الاستخدام – Mixed Use Complex                  , تجاري,"نجران, منطقة نجران",,,368638.28018867923,622155.975,,0
مدينة الطيار – Al Tayyar City                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مبنى ممشى التحلية – Tahlia Walk Building                  , تجاري,"منطقة مكة المكرمة, جدة",,,286456.0,477481.0,,0
ساحة دان – Dan Plaza                  , تجاري,"مكة المكرمة, منطقة مكة المكرمة",,,286456.0,477481.0,,0
فندق ميلينيوم بليس – Millennium Place                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
مجمع غراسيا – Gracia Complex                  , تجاري,"المنطقة الشرقية, الخبر",,303.0,188521.0,598525.0,,0
ايكيا الثمامة – IKEA Thumama                  , تجاري,"منطقة الرياض, الرياض",,,732297.0,1159997.0,,0
ذا كيرف مول – The Curve Mall                  , تجاري,"المنطقة الشرقية, الدمام",8000000.0,,188521.0,598525.0,,0
